,organic_products_export,chemicals_export,material_export,clothing_export,metals_export,technical_export,transportation_export,miscellaneous_goods_export,all_commodities_export,organic_products_import,chemicals_import,material_import,clothing_import,metals_import,technical_import,transportation_import,miscellaneous_goods_import,all_commodities_import,iso3,freight_2017,passengers_2017,name,normalised_export_2017,normalised_import_2017,normalised_freight_2017,normalised_passengers_2017,code
56,0.16,0.0,5.85,0.05,0.1,0.02,0.02,0.0,6.2,0.54,0.32,1.37,0.07,0.33,0.92,0.62,0.16,4.34,MNG,8.37,602775.0,Mongolia,1.9740810260220096,1.6752256529721035,2.2375130962503307,13.309300930741474,MNG
57,0.05,0.02,0.17,0.0,0.13,0.02,0.02,0.0,0.42,0.6,0.25,0.62,0.14,0.23,0.43,0.2,0.14,2.61,MNE,0.11,507637.0,Montenegro,0.35065687161316933,1.2837077723447896,0.10436001532424286,13.137523874116482,MNE
58,5.59,4.01,2.62,3.88,0.67,4.57,4.0,0.29,25.62,5.33,3.49,14.44,1.65,3.45,9.34,5.49,1.84,45.04,MAR,74.09,8436970.0,Morocco,3.2816628129669656,3.829510583853682,4.318687394111793,15.948133915901131,MAR
59,1.66,2.28,24.29,0.11,1.75,1.04,1.54,0.19,32.86,3.62,1.95,6.31,0.47,3.63,6.15,3.24,1.04,26.41,OMN,435.48,9065019.0,Oman,3.522234376704989,3.3109079103146946,6.078742555215043,16.019933608456576,OMN
60,1.17,0.06,2.85,0.01,0.7,0.11,0.31,0.02,5.22,0.93,0.63,2.27,0.27,0.71,0.96,0.74,0.27,6.77,NAM,22.21,623076.0,Namibia,1.827769906751088,2.050270164379556,3.1445832202863455,13.342425385637913,NAM
61,97.42,69.12,102.27,15.66,32.04,120.33,28.89,38.17,503.89,65.08,47.28,108.23,19.69,27.9,115.36,31.65,34.7,449.89,NLD,5697.73,42770628.0,Netherlands,6.224340583766572,6.1112234073146166,8.647998621979927,17.571362186664977,NLD
62,23.53,1.66,6.63,0.34,1.42,1.9,0.47,0.84,36.78,4.81,3.55,8.41,1.86,1.93,9.12,7.28,2.82,39.79,NZL,1335.95,16271523.0,New Zealand,3.6317798620733637,3.708436953329467,7.198146179244836,16.60492714413858,NZL
63,2.43,0.04,0.46,1.34,0.03,0.61,0.01,0.01,4.93,1.09,1.1,1.88,1.03,0.5,1.28,0.47,0.34,7.7,NIC,0.0,0.0,Nicaragua,1.780024213009634,2.163323025660538,0.0,0.0,NIC
64,12.19,3.43,61.69,0.2,8.05,6.71,3.09,2.43,97.79,8.5,7.47,13.31,3.74,11.39,17.86,15.43,7.0,84.72,NOR,0.0,0.0,Norway,4.592996385056383,4.451086170605376,0.0,0.0,NOR
65,4.47,0.42,6.17,9.17,0.42,0.27,0.08,0.87,21.88,6.9,6.2,21.21,0.95,5.21,11.61,3.82,1.5,57.41,PAK,249.87,9919768.0,Pakistan,3.130263166511597,4.067487108052218,5.524934876673747,16.110040192699604,PAK
66,5.45,0.12,2.55,0.14,0.07,0.25,0.06,0.04,8.68,1.07,1.7,2.75,0.4,0.62,3.43,1.23,0.67,11.87,PRY,1.85,457249.0,Paraguay,2.2700619012884857,2.554899021608035,1.0473189942805592,13.032985566253112,PRY
67,8.79,0.79,29.32,0.98,3.74,0.36,0.07,0.17,44.24,5.06,4.31,10.96,1.48,2.82,9.33,4.06,1.74,39.76,PER,315.89,15728393.0,Peru,3.81198165124792,3.707701208354524,5.758554710503181,16.570978171920018,PER
68,29.58,16.28,39.33,8.62,21.87,53.23,31.38,20.75,221.03,19.97,22.04,49.02,10.55,23.24,52.51,25.29,12.22,214.83,POL,221.81,7376934.0,Poland,5.402812507877485,5.374491060770879,5.4063193903493145,15.813868798657769,POL
