,animals_&_animal_products_export,vegetable_products_export,foodstuffs_export,mineral_products_export,chemicals_&_allied_industries_export,Plastics/Rubbers_export,"raw_hides,_skins,_leather_&_furs_export",wood_&_wood_products_export,textiles_export,footwear_/_headgear_export,stone_/_glass_export,metals_export,machinery_/_electrical_export,transportation_export,miscellaneous_export,all_commodities_export,animals_&_animal_products_import,vegetable_products_import,foodstuffs_import,mineral_products_import,chemicals_&_allied_industries_import,Plastics/Rubbers_import,"raw_hides,_skins,_leather_&_furs_import",wood_&_wood_products_import,textiles_import,footwear_/_headgear_import,stone_/_glass_import,metals_import,machinery_/_electrical_import,transportation_import,miscellaneous_import,all_commodities_import,ISO3,freight_2017,passengers_2017
82,7306.22,3542.972,19206.867,35857.1,62723.633,14072.116,1670.876,8136.629,12159.483,2455.071,35052.347,22160.052,93571.251,75554.469,32888.052,426357.135,13030.065,19215.86,31520.071,54260.863,64308.208,23834,3913.743,17455.113,31949.628,7599.972,55178.299,30155.504,139780.582,92251.136,43382.808,627835.851,GBR,5917.239431,151867276
83,263.148,1150.118,301.617,154.502,134.065,32.511,8.2,72.066,270.702,18.797,1661.463,52.192,27.505,9.678,21.544,4178.109,36.616,540.401,234.354,1565.051,1163.783,549.044,12.19,152.467,245.599,45.268,119.674,583.123,1524.112,726.72,267.01,7765.411,TZA,0.384891357,1120060
84,28461.446,71097.571,43797.504,147879.663,159684.55,75325.255,4539.193,38806.853,25885.122,1924.354,71301.976,68463.305,376459.663,266676.175,122869.946,1503172.578,32666.481,54814.034,65327.079,210526.607,200343.795,82793.415,14533.812,46305.795,114080.482,32048.692,81806.172,133411.658,705700.876,329721.636,212168.144,2316248.679,USA,41591.55177,849403000
85,2701.478,2169.393,193.981,191.794,364.97,285.522,253.091,969.908,248.149,0.38,66.398,94.467,103.751,123.276,122.83,7889.387,186.293,379.039,598.661,1097.785,1205.843,564.015,97.157,245.007,458.551,119.066,132.492,421.567,1601.917,911.979,438.504,8457.877,URY,0,0
86,18.113,225.05,357.794,272.784,367.414,24.472,9.166,128.267,41.978,1.223,143.837,6397.095,138.701,22.372,5.266,8153.531,166.767,162.742,181.566,2511.492,2005.899,383.883,4.042,133.92,133.347,30.734,93.563,528.456,1574.366,683.522,172.814,8767.111,ZMB,81.55760965,154573
87,12.607,535.404,110.9,12403.616,79.558,102.514,15.153,6.573,76.837,0.387,135.5,245.051,50.449,11.521,9.398,13795.467,255.432,707.839,736.017,417.032,827.274,428.011,19.268,358.065,315.978,71.57,205.791,1060.731,1866.665,597.827,410.718,8278.216,AZE,751.1431297,2331308
88,4662.135,17318.566,13046.577,2447.012,4667.236,1293.125,770.087,511.971,417.331,50.798,2615.272,1716.122,1335.804,6360.307,271.538,57483.882,294.485,1593.88,1116.017,6166.19,9070.535,3484.873,177.697,1289.43,1561.988,696.975,781.106,3572.707,18562.185,14825.42,3149.324,66342.814,ARG,306.2585685,18308373
89,87.934,5.892,11.55,32.105,52.664,22.796,3.838,10.293,17.257,0.73,5395.079,23.554,169.894,55.364,5.978,5894.927,73.032,224.128,368.993,826.694,379.636,162.119,8.192,134.94,118.677,42.846,1438.065,236.444,689.541,399.139,160.858,5263.304,BWA,0,220844
90,20.664,53.172,135.007,21.019,15.655,3.388,0.872,7.805,2.565,0.548,1.902,0.937,2.635,4.1,6.645,276.915,19.177,38.882,132.341,124.972,84.481,46.052,21.498,34.474,61.969,23.494,18.628,63.351,142.157,56.587,43.311,911.374,BLZ,3.746059438,1285642
91,51.28,54.701,12.21,20.978,0.058,0.026,0,353.326,0.024,0,3.271,0.456,2.502,0.514,0.369,499.715,17.523,58.497,64.819,85.709,23.35,18.204,1.014,19.428,13.648,2.984,4.119,46.887,157.49,43.534,14.563,571.77,SLB,3.842515754,427806
92,0.095,73.821,14.917,8.462,1.473,3.558,0.621,0.172,0.267,0.011,40.767,1.504,1.331,1.085,1.323,149.406,10.157,91.703,49.21,171.135,126.016,35.161,3.92,19.865,46.709,10.13,11.758,55.873,63.058,64.437,24.168,783.299,BDI,0,0
93,6.991,129.533,580.782,1427.958,102.494,78.683,0.215,515.159,171.824,2.051,14.041,180.079,30.465,13.31,10.6,3264.185,250.886,663.83,293.789,969.163,629.652,239.545,9.725,119.178,149.7,22.634,105.957,378.382,846.3,379.918,124.97,5183.629,CMR,0,236000
94,23.88,173.219,20.918,39.434,9.365,4.478,0.157,8.351,358.438,0.087,22.659,21.889,34.717,6.91,1.761,726.265,208.783,1347.244,135.321,574.101,139.809,42.947,2.42,30.586,57.142,5.119,26.558,97.53,204.106,166.608,21.796,3060.07,BEN,0,0
95,81.525,168.476,528.325,541.961,283.643,50.9,3.604,42.94,96.573,1.583,89.939,441.019,98.056,266.399,33.412,2728.356,234.029,359.751,580.026,1600.59,767.078,384.854,22.207,240.656,354.274,89.161,194.714,565.937,1328.38,773.238,401.532,7896.425,GEO,0.260497202,323303
96,77.639,662.237,2690.307,3917.366,157.47,447.995,0.945,208.888,98.495,4.017,5871.078,158.049,35.728,4.107,24.188,14358.51,513.389,1166.525,716.751,1302.08,1220.155,647.896,25.82,828.427,292.383,60.063,179.702,1281.649,2178.336,1907.197,397.769,12718.142,GHA,0.761415383,299384
97,17.074,1761.876,5232.531,1631.098,416.643,1058.104,3.509,221.903,279.791,56.912,840.541,79.065,135.107,771.262,54.443,12559.859,632.733,898.076,511.309,1826.83,1062.13,564.447,9.474,199.305,239.281,28.968,117.519,562.672,1368.533,1307.35,276.206,9604.834,CIV,1.365902441,788098
98,27.051,87.545,228.2,336.518,532.161,11.61,0.053,6.736,3.02,0.09,12.302,18.431,27.286,6.392,8.147,1305.544,166.928,257.188,606.932,1436.272,525.615,264.151,8.072,227.203,122.624,34.197,143.118,293.738,772.696,694.895,243.971,5797.6,JAM,2.83938,151326
99,83.645,2851.991,490.034,620.129,418.417,136.751,51.623,113.48,398.717,41.831,39.279,240.219,127.242,59.972,74.085,5747.415,141.731,1999.605,1049.962,2834.889,1712.207,860.62,25.47,459.176,682.425,57.93,182.032,1356.614,2949.514,1765.747,612.274,16690.197,KEN,254.3541596,4892682
100,1.036,159.072,637.182,0.872,5.188,12.895,1.653,10.88,9.199,0.749,1.113,3.882,19.828,10.901,9.402,883.852,20.162,167.412,128.389,308.003,513.702,125.722,1.999,257.742,91.942,15.789,27.898,151.435,477.894,167.225,91.728,2547.042,MWI,0.010879737,10545
101,195.075,36.941,26.497,0.656,105.19,7.15,10.197,9.297,139.027,0.157,1254.196,15.379,28.036,69.406,5.525,1902.73,81.268,368.787,280.994,1275.776,581.798,152.177,5.032,42.806,86.049,16.639,51.436,269.343,648.382,358.78,117.299,4336.565,MLI,0,0
102,3850.577,15402.426,13276.107,28070.349,9832.995,11808.675,640.45,2517.205,6432.637,694.88,10514.181,16755.93,147530.128,105475.072,31341.053,404142.665,6885.521,11797.032,7254.509,36858.009,28992.123,30025.424,1902.799,8942.792,10220.196,1329.355,4079.944,34502.516,156918.269,42955.416,22636.517,405300.424,MEX,928.835517,58536878
103,41.848,175.394,293.418,2653.844,10.017,1.524,1.752,116.56,18.357,3.396,103.098,1219.33,27.059,50.476,2.443,4718.518,140.349,543.155,171.694,1329.531,505.55,195.722,6.7,116.666,180.515,25.784,87.367,820.168,844.077,586.384,148.043,5701.705,MOZ,3.92877,569829
104,9.621,108.928,92.626,0.069,44.086,8.449,10.661,13.995,328.432,18.52,9.75,73.508,7.537,1.012,13.55,740.743,67.011,1240.461,471.458,1901.581,733.836,447.301,9.028,185.695,391.477,40.263,508.774,1294.251,1571.15,929.59,245.962,10037.84,NPL,6.029156136,779896
105,1.032,0.683,37.851,0.104,6.071,0.575,0.511,0.772,0.436,0.339,10.162,16.7,3.75,1.518,5.296,85.801,108.037,61.77,186.438,73.416,109.317,37.933,11.623,38.547,58.063,15.189,62.895,55.442,165.915,84.831,115.608,1185.025,ABW,0,0
106,567.695,3696.124,2314.386,2233.892,1400.191,1139.693,575.532,1707.476,1389.576,127.377,1550.875,3539.997,41659.434,3532.93,3277.434,68712.611,2642.452,4050.601,5044.056,14167.123,7371.07,3962.162,320.868,2171.564,1832.131,353.378,1243.08,7660.674,36506.671,10972.085,3591.518,101889.432,PHL,756.9424753,44087368
107,0.044,11.29,31.4,10.433,4.475,1.033,0.471,5.302,4.903,0.809,12.169,5.689,20.778,22.892,9.108,140.797,43.877,35.321,88.124,115.937,46.21,31.33,1.466,30.996,15.264,5.239,20.157,42.525,102.069,38.354,42.273,659.144,LCA,0,0
108,401.767,276.048,349.869,840.994,300.846,46.16,14.138,26.187,52.952,55.025,378.826,124.296,69.73,40.457,11.748,2989.042,127.287,973.075,524.973,1550.472,527.995,242.706,6.384,157.78,152.502,15.183,83.372,512.072,1171.248,505.97,177.652,6728.672,SEN,0.041650904,21038
109,686.215,887.996,8322.226,47888.212,37005.846,16699.351,1506.538,3054.091,2243.585,502.974,17526.274,7960.07,176504.223,10439.904,20776.74,352004.246,2899.216,3368.009,6474.773,73438.825,21126.484,9043.662,1860.485,2738.017,3321.014,778.894,21850.946,10031.652,138286.099,13523.455,15998.604,324740.136,SGP,7006.894789,37679940
110,6448.593,15318.62,5264.833,5984.585,3231.847,7132.854,3671.578,3472.864,31809.668,15618.741,2576.369,8328.7,86544.56,3500.789,15926.935,214831.536,2935.103,9247.626,5450.303,11881.002,15237.183,15786.15,2071.517,5142.549,17966.625,977.458,2418.563,21957.314,86414.783,5210.364,10228.377,212924.916,VNM,453.34954,42592762
