,scalerank_left,airport_name,abbrev,location,gps_code,iata_code,wikipedia,wdid_score,ne_id,name,iso3,size,usage,top_20_busiest_airports,busiest_airport_ranking,amount_passed_through
85,8,Cardiff,CWL,terminal,EGFF,CWL,http://en.wikipedia.org/wiki/Cardiff_Airport,4,1159115353,United Kingdom,GBR,major,civilian,0,0,0
86,8,Gerrard Smith,CYB,terminal,MWCB,CYB,http://en.wikipedia.org/wiki/Gerrard_Smith_International_Airport,4,1159115383,None,None,mid,civilian,0,0,0
87,8,Cozumel Int'l,CZM,terminal,MMCZ,CZM,http://en.wikipedia.org/wiki/Cozumel_International_Airport,4,1159115401,Mexico,MEX,mid,civilian,0,0,0
88,8,James M. Cox Dayton Int'l,DAY,terminal,KDAY,DAY,http://en.wikipedia.org/wiki/Dayton_International_Airport,4,1159115417,United States of America,USA,major,civilian,0,0,0
89,8,Dubbo,DBO,approximate,YSDU,DBO,http://en.wikipedia.org/wiki/Dubbo_Airport,4,1159115439,Australia,AUS,mid,civilian,0,0,0
90,8,Washington Nat'l,DCA,terminal,KDCA,DCA,http://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport,4,1159115459,United States of America,USA,major,civilian,0,0,0
91,8,Durango Int'l,DGO,terminal,MMDO,DGO,http://en.wikipedia.org/wiki/General_Guadalupe_Victoria_International_Airport,4,1159115479,Mexico,MEX,mid,civilian,0,0,0
92,8,Voloskoye,DNK,terminal,UKDD,DNK,http://en.wikipedia.org/wiki/Dnipropetrovsk_International_Airport,4,1159115501,Ukraine,UKR,mid,civilian,0,0,0
93,8,Donetsk,DOK,terminal,UKCC,DOK,http://en.wikipedia.org/wiki/Donetsk_International_Airport,4,1159115513,Ukraine,UKR,major,civilian,0,0,0
94,8,Santa Bernardina Int'l,DZO,runway,SUDU,DZO,http://en.wikipedia.org/wiki/Santa_Bernardina_International_Airport,4,1159115539,Uruguay,URY,mid,civilian,0,0,0
95,8,Edinburgh Int'l,EDI,terminal,EGPH,EDI,http://en.wikipedia.org/wiki/Edinburgh_Airport,4,1159115559,United Kingdom,GBR,major,civilian,0,0,0
96,8,Terrance B. Lettsome Int'l,EIS,terminal,TUPJ,EIS,http://en.wikipedia.org/wiki/Terrance_B._Lettsome_International_Airport,4,1159115573,None,None,mid,civilian,0,0,0
97,8,Elko Reg.,EKO,terminal,KEKO,EKO,http://en.wikipedia.org/wiki/Elko_Regional_Airport,4,1159115593,United States of America,USA,mid,civilian,0,0,0
98,8,Ensenada,ESE,ramp,MMES,ESE,http://en.wikipedia.org/wiki/Ensenada_Airport,4,1159115613,Mexico,MEX,mid,civilian,0,0,0
99,8,Vágar,FAE,approximate,EKVG,FAE,http://en.wikipedia.org/wiki/V%C3%A1gar_Airport,4,1159115633,Faeroe Is.,FRO,mid,civilian,0,0,0
100,8,Hector Int'l,FAR,terminal,KFAR,FAR,http://en.wikipedia.org/wiki/Hector_International_Airport,4,1159115653,United States of America,USA,mid,military/civilian,0,0,0
101,8,Fresno Yosemite Int'l,FAT,terminal,KFAT,FAT,http://en.wikipedia.org/wiki/Fresno_Yosemite_International_Airport,4,1159115671,United States of America,USA,mid,civilian,0,0,0
102,8,Flagstaff Pulliam,FLG,terminal,KFLG,FLG,http://en.wikipedia.org/wiki/Flagstaff_Pulliam_Airport,4,1159115693,United States of America,USA,mid,civilian,0,0,0
103,8,Mundo Maya Int'l,FRS,terminal,MGTK,FRS,http://en.wikipedia.org/wiki/Mundo_Maya_International_Airport,5,1159115711,Guatemala,GTM,mid,civilian,0,0,0
104,8,Sioux Falls Reg.,FSD,terminal,KFSD,FSD,http://en.wikipedia.org/wiki/Sioux_Falls_Regional_Airport,4,1159115731,United States of America,USA,mid,civilian,0,0,0
105,8,Spokane Int'l,GEG,terminal,KGEG,GEG,http://en.wikipedia.org/wiki/Spokane_International_Airport,4,1159115761,United States of America,USA,major,civilian,0,0,0
106,8,Exuma Int'l,GGT,terminal,MYEF,GGT,http://en.wikipedia.org/wiki/Exuma_International_Airport,4,1159115775,Bahamas,BHS,mid,civilian,0,0,0
107,8,Gibraltar,GIB,runway,LXGB,GIB,http://en.wikipedia.org/wiki/Gibraltar_Airport,4,1159115799,None,None,mid,civilian,0,0,0
108,8,Gerald R. Ford Int'l,GRR,terminal,KGRR,GRR,http://en.wikipedia.org/wiki/Gerald_R._Ford_International_Airport,4,1159115827,United States of America,USA,mid,civilian,0,0,0
109,8,Triad Int'l,GSO,terminal,KGSO,GSO,http://en.wikipedia.org/wiki/Piedmont_Triad_International_Airport,4,1159115847,United States of America,USA,major,civilian,0,0,0
110,8,Great Falls Int'l,GTF,terminal,KGTF,GTF,http://en.wikipedia.org/wiki/Great_Falls_International_Airport,4,1159115875,United States of America,USA,mid,civilian,0,0,0
111,8,Gaziantep Oğuzeli Int'l,GZT,terminal,LTAJ,GZT,http://en.wikipedia.org/wiki/O%C4%9Fuzeli_Airport,4,1159115899,Turkey,TUR,major,civilian,0,0,0
112,8,Hubli,HBX,terminal,VAHB,HBX,http://en.wikipedia.org/wiki/Hubli_Airport,5,1159115911,India,IND,mid,civilian,0,0,0
113,8,Hat Yai Int'l,HDY,terminal,VTSS,HDY,http://en.wikipedia.org/wiki/Hat_Yai_International_Airport,4,1159115937,Thailand,THA,mid,civilian,0,0,0
114,8,Hefei-Luogang,HFE,ramp,ZSOF,HFE,http://en.wikipedia.org/wiki/Hefei_Luogang_International_Airport,4,1159115965,China,CHN,mid,civilian,0,0,0
115,8,Hurghada Int'l,HRG,terminal,HEGN,HRG,http://en.wikipedia.org/wiki/Hurghada_International_Airport,4,1159115975,Egypt,EGY,major,civilian,0,0,0
116,8,Kharkov Int'l,HRK,ramp,UKHH,HRK,http://en.wikipedia.org/wiki/Kharkiv_International_Airport,4,1159115997,Ukraine,UKR,major,civilian,0,0,0
117,8,Huntsville Int'l,HSV,terminal,KHSV,HSV,http://en.wikipedia.org/wiki/Huntsville_International_Airport,4,1159116015,United States of America,USA,major,civilian,0,0,0
118,8,Ibadan,IBA,ramp,DNIB,IBA,http://en.wikipedia.org/wiki/Ibadan_Airport,4,1159116035,Nigeria,NGA,mid,civilian,0,0,0
119,8,Kansas City Int'l,ICT,terminal,KICT,ICT,http://en.wikipedia.org/wiki/Kansas_City_International_Airport,4,1159116067,United States of America,USA,major,civilian,0,0,0
120,8,Wilmington Int'l,ILM,terminal,KILM,ILM,http://en.wikipedia.org/wiki/Wilmington_International_Airport,4,1159116087,United States of America,USA,mid,civilian,0,0,0
121,8,Ilorin Int'l,ILR,terminal,DNIL,ILR,http://en.wikipedia.org/wiki/Ilorin_International_Airport,4,1159116105,Nigeria,NGA,mid,civilian,0,0,0
