scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id,lon,lat
6,Airport,mid,Gov. Jorge Teixeira de Oliveira Int'l,PVH,terminal,SBPV,PVH,http://en.wikipedia.org/wiki/Governador_Jorge_Teixeira_de_Oliveira_International_Airport,20.00000,,Q1153219,,,Flughafen Governador Jorge Teixeira De Oliveira,Governador Jorge Teixeira de Oliveira International Airport,,,,,,,,ポルトベリョ,,Luchthaven Jorge Teixeira de Oliveira International,Port lotniczy Porto Velho,Aeroporto Internacional de Porto Velho,Порту-Велью,Governador Jorge Teixeira de Oliveira International Airport,,Sân bay quốc tế Governador Jorge Teixeira de Oliveira,,4,1159123449,-63.89846,-8.71442
6,Airport,mid,Bilbao,BIO,terminal,LEBB,BIO,http://en.wikipedia.org/wiki/Bilbao_Airport,20.00000,,Q598197,مطار بلباو,,Flughafen Bilbao,Bilbao Airport,Aeropuerto de Bilbao,aéroport international de Bilbao,,,,Bandar Udara Bilbao,Aeroporto di Bilbao,ビルバオ空港,,Luchthaven Bilbao,Port lotniczy Bilbao,Aeroporto de Bilbau,Бильбао,Bilbao Airport,Bilbao Havalimanı,Sân bay Bilbao,畢爾包機場,4,1159123469,-2.90609,43.30508
6,Airport,major,Palma de Mallorca,PMI,terminal,LEPA,PMI,http://en.wikipedia.org/wiki/Palma_de_Mallorca_Airport,20.00000,,Q656993,مطار بالما دي مايوركا,,Flughafen Palma de Mallorca,Palma de Mallorca Airport,Aeropuerto de Palma de Mallorca,aéroport de Palma de Majorque,,,Palma de Mallorca nemzetközi repülőtér,Bandar Udara Son Sant Joan,Aeroporto di Palma di Maiorca,パルマ・デ・マリョルカ空港,,Luchthaven Palma de Mallorca,Port lotniczy Palma de Mallorca,Aeroporto Internacional de Palma de Maiorca,Пальма-де-Майорка,Palma de Mallorca flygplats,Palma de Mallorca Havalimanı,Sân bay Palma de Mallorca,马略卡岛帕尔马机场,4,1159123487,2.72998,39.56578
6,Airport,major,Tenerife N.,TFN,terminal,GCXO,TFN,http://en.wikipedia.org/wiki/Los_Rodeos_Airport,20.00000,,Q932514,مطار تنريف الشمالي,,Flughafen Teneriffa Nord,Tenerife North Airport,Aeropuerto de Tenerife Norte,aéroport de Ténérife-Nord,,,,Bandar Udara Internasional Los Rodeos,Aeroporto di Tenerife-Nord,テネリフェ・ノルテ空港,로스로데오스 공항,Luchthaven Tenerife Noord,Port lotniczy Aeropuerto de Tenerife Norte,Aeroporto de Tenerife Norte,Лос-Родеос,Teneriffas norra flygplats,Tenerife Kuzey Havalimanı,Sân bay Tenerife Norte,北特內里費機場,4,1159123501,-16.34632,28.48758
6,Airport,major,Gothenburg,GOT,terminal,ESGG,GOT,http://en.wikipedia.org/wiki/Gothenburg-Landvetter_Airport,20.00000,,Q1137115,,,Flughafen Göteborg/Landvetter,Gothenburg-Landvetter Airport,Aeropuerto de Gotemburgo-Landvetter,aéroport de Göteborg-Landvetter,,,,,Aeroporto di Göteborg-Landvetter,ヨーテボリ・ランドヴェッテル空港,,Luchthaven Göteborg-Landvetter,Port lotniczy Göteborg-Landvetter,Aeroporto de Gotemburgo-Landvetter,Гётеборг-Ландветтер,Göteborg-Landvetter Airport,,Sân bay Göteborg-Landvetter,哥德堡－蘭德維特機場,4,1159123513,12.29383,57.68575
6,Airport,major,Lulea,LLA,terminal,ESPA,LLA,http://en.wikipedia.org/wiki/Lule%C3%A5_Airport,20.00000,,Q1431971,,,Flughafen Luleå,Luleå Airport,Aeropuerto de Luleå,aéroport de Luleå,,,,,,ルレオ空港,,Luleå Airport,Port lotniczy Luleå,,Лулео,Luleå Airport,,Sân bay Luleå,呂勒奧,4,1159123529,22.12303,65.54904
6,Airport,major,Abu Dhabi Int'l,AUH,terminal,OMAA,AUH,http://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,20.00000,,Q643562,مطار أبوظبي الدولي,আবুধাবি আন্তর্জাতিক বিমানবন্দর,Flughafen Abu Dhabi,Abu Dhabi International Airport,Aeropuerto Internacional de Abu Dabi,aéroport international d'Abou Dabi,,अबु धाबी अन्तर्राष्ट्रीय विमानक्षेत्र,,Bandar Udara Internasional Abu Dhabi,Aeroporto Internazionale di Abu Dhabi,アブダビ国際空港,아부다비 국제공항,Abu Dhabi International Airport,Port lotniczy Abu Zabi,Aeroporto Internacional de Abu Dhabi,Абу-Даби,Abu Dhabi International Airport,Abu Dabi Havalimanı,Sân bay quốc tế Abu Dhabi,阿布扎比國際機場,4,1159123541,54.64633,24.42723
6,Airport,mid,Mohamed Boudiaf Int'l,CZL,terminal,DABC,CZL,http://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,20.00000,,Q2510194,مطار قسنطينة - محمد بوضياف,,Flughafen Constantine,Mohamed Boudiaf International Airport,Aeropuerto Internacional Mohamed Boudiaf,aéroport de Constantine - Mohamed Boudiaf,,,,Bandar Udara Internasional Mohamed Boudiaf,Aeroporto di Costantina-Mohamed Boudiaf,コンスタンティン,,Luchthaven Mohamed Boudiaf,Port lotniczy Konstantyna,,,Mohamed Boudiaf International Airport,,Sân bay quốc tế Mohamed Boudiaf,君士坦丁,4,1159123557,6.62195,36.28344
6,Airport,mid,Aswan Int'l,ASW,terminal,HESN,ASW,http://en.wikipedia.org/wiki/Aswan_International_Airport,20.00000,,Q752537,مطار أسوان الدولي,,Aswan International Airport,Aswan International Airport,Aeropuerto Internacional de Asuán,aéroport d'Assouan,,,Asszuáni nemzetközi repülőtér,Bandar Udara Daraw,,アスワン国際空港,,Luchthaven Aswan,Port lotniczy Asuan,Aeroporto Internacional de Assuão,,Aswan International Airport,,Sân bay quốc tế Aswan,阿斯旺國際機場,4,1159123573,32.82444,23.96828
6,Airport,mid,Rovaniemi,RVN,terminal,EFRO,RVN,http://en.wikipedia.org/wiki/Rovaniemi_Airport,20.00000,,Q1323139,,,Flughafen Rovaniemi,Rovaniemi Airport,Aeropuerto de Rovaniemi,aéroport de Rovaniemi,,,,,Aeroporto di Rovaniemi,ロヴァニエミ空港,,Rovaniemi Airport,Port lotniczy Rovaniemi,,Рованиеми,Rovaniemi flygplats,Rovaniemi Havalimanı,Sân bay Rovaniemi,罗瓦涅米机场,4,1159123589,25.82944,66.55956
