Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Capital goods,Export,Export(US$ Mil),          13462.22,          24297.60,          24021.16,          21867.09,          21867.16,          18299.44,          13272.50,          17619.93,          13923.21,          11490.67,           9325.54,           7422.86,           6128.75,           5321.21,           4190.51,           3989.36,           3853.13,           3605.74,           3800.45,           2952.90,           2529.44,           1852.56,           1545.12,           1425.33,             12.75,             15.58,,
,World,Chemicals,Export,Export(US$ Mil),           6231.78,           9935.42,           8618.02,           8461.58,           8362.61,           7357.06,           5288.03,           7494.96,           5804.46,           5388.23,           5232.04,           4474.24,           3391.79,           3261.11,           2535.52,           2544.37,           2240.39,           2245.53,           2475.14,           2387.79,           2091.23,           1417.51,           1065.30,           1168.40,              8.78,              4.97,,
,World,Consumer goods,Export,Export(US$ Mil),          29891.19,          55963.73,          42944.51,          56178.62,          60307.51,          47835.78,          27869.48,          28911.26,          23845.02,          29244.95,          23253.53,          20769.78,          17749.71,          13392.09,          13388.49,          12178.37,           7514.18,           7208.90,           6794.22,           5190.95,           5007.10,           3162.55,           2858.54,           2614.98,            151.46,            164.75,,
,World,Food Products,Export,Export(US$ Mil),          14801.43,          16373.55,          18529.41,          20427.61,          17437.67,          15481.28,          13909.62,          11395.32,          10010.81,           9178.51,           8208.26,           8319.15,           7431.42,           6176.23,           5777.48,           5142.30,           4631.91,           5038.61,           5117.31,           5551.03,           4319.63,           1483.81,            993.30,            758.23,            408.35,            339.93,,
,World,Footwear,Export,Export(US$ Mil),            428.12,            567.30,            704.49,            590.87,            520.16,            735.80,            305.20,            243.87,            229.00,            199.88,            116.79,            157.84,            144.55,            136.30,            138.45,            138.34,            101.26,            100.35,            101.01,             89.48,             75.10,             33.60,             26.07,             22.57,              3.36,              0.40,,
,World,Fuels,Export,Export(US$ Mil),          47046.06,         174669.32,         176506.91,         220417.89,         218724.07,         156994.40,         113124.62,         113087.46,         117806.89,          82270.96,          18159.78,          12380.40,          31382.61,          25752.58,          26700.00,          35259.23,          20845.39,          11176.24,          16037.74,          17641.22,           4484.35,           4245.70,           4934.62,           1630.27,              1.46,              1.60,,
,World,Hides and Skins,Export,Export(US$ Mil),            672.18,           1463.00,           1924.91,           1794.26,           1493.62,           3608.46,            872.95,           1208.59,            886.33,            545.57,            450.01,            419.42,            330.43,            395.32,            419.48,            437.94,            294.79,            309.01,            409.69,            327.39,            431.30,            237.42,            179.80,            174.85,              3.11,              3.10,,
,World,Intermediate goods,Export,Export(US$ Mil),          47527.22,          63046.36,          72426.42,          75711.84,          80079.25,          62742.37,          41565.48,          53167.85,          49057.01,          42363.82,          33205.55,          27901.51,          21759.69,          15371.33,          18034.57,          14467.01,          13854.20,           9747.33,          10856.68,          13471.21,          12454.41,           6866.41,           6137.21,           5465.29,             92.02,             91.97,,
,World,Mach and Elec,Export,Export(US$ Mil),           8787.51,          12020.11,          11491.39,          11713.86,          11888.81,          10181.07,           7233.03,           9856.74,           8770.19,           7007.96,           5589.15,           4786.05,           3831.45,           3118.67,           3068.29,           2729.22,           2396.19,           2211.24,           2071.82,           1809.02,           1512.98,           1020.58,            885.02,            774.25,             10.22,              8.72,,
,World,Metals,Export,Export(US$ Mil),          17482.47,          24476.88,          24028.49,          23334.33,          26288.77,          24161.91,          14668.43,          22434.61,          21554.93,          16714.16,          13091.45,          12238.27,           7887.70,           5893.93,           5635.42,           6147.47,           5012.58,           3275.23,           4032.29,           5400.06,           5691.73,           3140.41,           3048.57,           2686.91,              1.72,              1.57,,
,World,Minerals,Export,Export(US$ Mil),          10823.02,          18352.91,          21121.02,          18965.17,          20093.60,          14805.41,          10237.83,          13356.77,           8950.20,           5854.50,           4815.84,           3947.82,           2257.60,           2621.96,           2468.02,           2421.79,           2113.28,           2251.71,           2103.79,           2116.01,           2043.13,            971.80,           1106.19,           1074.98,             20.55,             22.43,,
,World,Miscellaneous,Export,Export(US$ Mil),           2363.71,           2680.71,           2792.27,           3459.85,           4273.32,           2772.12,           3329.69,           2993.55,           2806.91,           2263.79,           1516.98,           2778.14,           1486.10,           1364.12,           1003.31,           4471.46,            974.53,           3409.37,           3576.57,           2485.20,           8447.38,           9774.98,           9366.15,           9097.06,              8.17,              8.11,,
,World,Plastic or Rubber,Export,Export(US$ Mil),           2659.06,           3719.65,           6578.51,          14114.35,          11975.18,           4253.36,           2530.03,           3527.68,           2286.02,           1926.24,           1553.11,           1322.70,           1118.34,            860.18,            791.96,            799.50,            716.78,            903.40,            756.66,            868.93,            643.10,            267.87,            231.35,            271.94,              2.11,              2.54,,
,World,Raw materials,Export,Export(US$ Mil),          79706.94,         198821.06,         221306.10,         255293.36,         246896.90,         179830.86,         139524.35,         145265.74,         144147.31,          93340.39,          33322.96,          26747.37,          43719.25,          36486.90,          37278.24,          46812.52,          30219.63,          21934.07,          29356.53,          28918.92,          14592.65,          10634.07,          10213.83,           4174.86,            517.19,            428.58,,
,World,Stone and Glass,Export,Export(US$ Mil),          25060.65,          31204.42,          39980.56,          43250.14,          45285.76,          28036.37,          19374.58,          22580.69,          22938.50,          19521.65,          16244.39,          12767.71,          11033.69,           6465.92,           9926.14,           6734.78,           4963.68,           2383.92,           4645.53,           4621.73,           3268.95,           3215.09,           3442.39,            889.93,              4.80,              4.39,,
,World,Textiles and Clothing,Export,Export(US$ Mil),           4380.41,           6053.01,           5679.92,           6281.24,           6036.16,           5111.35,           4340.24,           5198.32,           4736.99,           4086.09,           4320.14,           5805.33,           4890.80,           3811.93,           3367.47,           3884.64,           3019.59,           3032.46,           3164.09,           2866.62,           2577.17,           1472.89,           1469.09,            693.05,             59.68,             39.72,,
,World,Transportation,Export,Export(US$ Mil),          10072.36,          17004.01,          16425.31,          14247.94,          15103.07,          12648.62,           9308.67,          12659.02,           8300.74,           7555.05,           6765.90,           5358.36,           4778.07,           3971.25,           2792.86,           2511.42,           2460.90,           1802.75,           1999.66,           1286.50,           1240.47,            909.30,            842.81,            822.89,              5.86,              8.40,,
,World,Vegetable,Export,Export(US$ Mil),          13684.15,          15572.34,          17633.43,          13881.75,          13727.76,          13242.13,          10465.87,          10891.23,           8524.68,           8037.10,           6424.42,           5702.91,           4864.38,           3620.36,           3933.37,           4323.91,           4270.97,           4622.92,           4573.89,           3212.36,           3759.32,           2009.29,            982.31,           1505.05,            178.50,            206.76,,
