Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Intermediate goods,Export,Export(US$ Mil),         186360.83,         214976.37,         221579.97,         232559.12,         240981.45,         196154.06,         156979.17,         190691.21,         163055.52,         146037.68,         120273.12,         103151.64,          77961.65,          66699.13,          66040.46,          66497.20,          57685.05,          58224.77,          63991.83,          60900.24,          59237.24,          45306.38,          33843.51,          29193.78,          24442.50,          22241.80,          13950.33,
,World,Mach and Elec,Export,Export(US$ Mil),         163829.87,         169909.73,         162123.83,         160914.94,         149813.90,         139672.21,         112191.77,         140320.00,         123775.97,         121195.16,         103012.75,          92039.21,          80162.68,          77497.24,          78341.09,          81424.06,          67821.93,          56984.63,          50435.99,          42187.27,          36342.47,          30565.70,          24622.91,          20212.48,           7580.56,           6982.55,           3812.82,
,World,Metals,Export,Export(US$ Mil),          57541.63,          68917.95,          69675.81,          74927.52,          83281.46,          71250.91,          54410.46,          77283.46,          72343.60,          66804.92,          50768.45,          41767.35,          27845.14,          25301.23,          23873.09,          25214.04,          21012.41,          21739.86,          24354.75,          22301.84,          22679.37,          17101.01,          13368.94,          13464.86,          11253.90,          10722.63,           6333.94,
,World,Minerals,Export,Export(US$ Mil),          52687.35,          70558.68,          77678.37,          78270.01,          88109.87,          67249.46,          39608.16,          48205.33,          46175.09,          36581.20,          26559.32,          18345.56,          10575.32,           8680.88,           8704.27,           9045.46,           7949.03,           8256.92,           8380.60,           7653.56,           7536.04,           5677.14,           4448.13,           5439.75,           4984.65,           4341.67,           2589.78,
,World,Miscellaneous,Export,Export(US$ Mil),          44284.08,          46617.68,          42827.29,          43093.17,          64463.87,          32466.59,          29263.06,          32702.20,          38773.06,          28254.05,          23332.95,          21625.16,          19494.82,          19250.75,          17333.43,          16089.54,          11649.64,          10351.75,          13296.51,          10674.66,           6286.55,           5230.25,           4349.83,           3492.55,           1619.40,           1298.62,            706.87,
,World,Plastic or Rubber,Export,Export(US$ Mil),          23257.50,          25322.54,          24536.30,          24752.79,          23948.28,          19559.42,          15943.01,          18653.17,          17791.96,          15490.99,          13790.68,          11333.18,           8999.00,           7709.49,           7797.84,           8077.81,           6649.21,           6290.43,           6204.64,           5468.18,           5302.00,           4193.87,           3338.30,           2692.53,           1693.02,           1363.42,            880.67,
,World,Raw materials,Export,Export(US$ Mil),         232473.05,         307103.16,         392915.54,         393110.59,         393152.68,         294303.73,         215617.20,         289704.12,         189924.14,         216332.87,         164293.25,         123917.03,          99281.29,          83103.83,          77217.14,          84832.26,          66744.03,          62588.38,          74364.28,          69971.07,          59403.52,          49844.60,          32330.47,          29231.67,          28295.15,          21883.57,           8013.05,
,World,Stone and Glass,Export,Export(US$ Mil),          31943.16,          34906.55,          39367.12,          45606.75,          43416.27,          33137.24,          25417.21,          24592.31,          20757.41,          18754.79,          14044.58,          12129.81,          10007.72,           8527.60,           7116.12,           7265.64,           7011.30,           6931.37,           6391.62,           6078.77,           5704.01,           5095.21,           3149.85,           2628.79,           1972.04,           1592.37,            452.66,
,World,Textiles and Clothing,Export,Export(US$ Mil),          21385.81,          23109.74,          22746.62,          24548.20,          22650.51,          19533.61,          17306.00,          22724.27,          21902.65,          20673.06,          21756.12,          18371.29,          17015.80,          16722.87,          14964.53,          16154.84,          14612.83,          13712.56,          13516.38,          10997.68,           9634.48,           7156.67,           5305.19,           5016.97,           3444.43,           2335.66,           1761.14,
,World,Transportation,Export,Export(US$ Mil),         121291.89,         118931.68,         121042.16,         106681.08,          98799.95,          81929.46,          56004.97,          78021.39,          71241.82,          64131.17,          53524.87,          46030.59,          38838.35,          39052.08,          41095.74,          40699.50,          32801.20,          31701.34,          27617.74,          23209.90,          18225.56,          14318.48,          11728.47,           9473.84,           7032.73,           5635.54,           3045.43,
,World,Vegetable,Export,Export(US$ Mil),          97447.16,         102112.95,         103313.59,          99571.64,         100150.47,          74991.27,          61964.33,          75333.49,          58472.88,          44511.77,          40841.61,          37185.24,          32170.48,          25969.89,          25870.27,          25491.45,          26486.88,          30512.95,          30284.04,          25408.13,          24353.65,          21241.71,          13740.53,           9059.51,           8759.95,           5899.63,           4071.52,
,World,Wood,Export,Export(US$ Mil),          22619.74,          23273.63,          22188.05,          21064.53,          22153.31,          20342.92,          16766.64,          20819.32,          19226.11,          16915.40,          15187.97,          13879.19,          11447.83,           9791.73,          10058.35,          10306.73,           9157.67,           8356.59,           8636.82,           7956.04,           9136.86,           6562.24,           5376.69,           4584.05,           3274.81,           2910.38,           1756.44,
