"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bosnia and Herzegovina","BIH","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.400000006","0.5","0.576","0.507","0.512","0.527","","","","","","0","0.00133914808477711","0.00107131846782169","0.000781857938806923","0.000528","0.000408","8.7E-05","","","",
"Belarus","BLR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4000000954","2.4000000954","2.4000000954","5.1999998093","2.5999999046","3.5","1.7999999523","1.614","1.491","1.272","1.093","1.152","1.157","1.215","1.239","1.225","1.022","1.539","1.549","1.755","1.695996","1.821996","1.807","1.266","1.67","",
"Belize","BLZ","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.069925233","0.0750827301877635","0.0608348499918917","1.19620662","3.00429486","2.463420011","2.689022193","3.746059438","",
"Bermuda","BMU","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","1.5","2.5","2.7999999523","2.9000000954","2.4000000954","2.5999999046","4.0999999046","27.6000003815","43.0999984741","33.9000015259","37.5999984741","43.7000007629","27.6000003815","17.2000007629","38","41.5","27.7999992371","25.5","8.3000001907","8.3999996185","8.3999996185","5","6.8000001907","10.1000003815","28.3999996185","48.9000015259","46.5999984741","47.0999984741","43","19.7999992371","15.341","13.568","14.922","24.522","24.371","25.295","10.714","8.718","8.755","6.871","11.236595977","17.4124617143146","12.3003149495376","7.993202","8.78072557707694","9.93479748637544","9.008756313","8.457145242","",
"Brazil","BRA","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","164.1000061035","180.1999969482","254.3000030518","316.700012207","407.1000061035","460.5","471.6000061035","499.299987793","571.299987793","570.5","588.200012207","644.9000244141","734.700012207","692.0999755859","831.700012207","909.200012207","1014.4000244141","1013.700012207","975.799987793","1147.9000244141","1082","1005.299987793","1143.3000488281","1284.3000488281","1468.5","1581.9000244141","1644.8000488281","1789.9000244141","1642.8000488281","1462.9000244141","1727.901","1467.445","1539.738","1478.37","1499.485","1530.675","1412.26","1477.828","1807.062","1782.3","1302.474647875","1294.49545","1363.447091","1637.382","1596.774","1493.939","1513.832873341","1736.549227","",
"Barbados","BRB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","0.200000003","0.8999999762","0.8999999762","0.5","0.3000000119","1.2999999523","","0.3000000119","2.5999999046","4.3000001907","2.5999999046","0.400000006","0.400000006","0.400000006","0.400000006","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","4.5999999046","4.4000000954","4.5","4.9000000954","6","8.6000003815","9.8999996185","22","30","64.8000030518","94.4000015259","110","108.0999984741","120.4000015259","120.4000015259","148.8999938965","140.231","126.014","161.477","149.443","131.441","134.136","130.181","116.368","104.195","90.441","148.524","149.579","128.234","127.595004","115.389","115.147","124.259","132.612","",
"Bhutan","BTN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.2","0.21","0.246","0.253","0.263","0.279","0.264","0.448","0.421937731663489","0.483705822187223","0.471","0.635292","0.922884","0.538041372","0.65910068","0.812012037","",
"Botswana","BWA","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.200000003","0.400000006","3.0999999046","0.400000006","0.6000000238","0.8000000119","0.5","0.3000000119","0.200000003","0.200000003","0.200000003","0.200000003","0.267","0.287","0.306","0.277","0.299","0.315","0","","","0","0.121","0.121","0.129878466595379","0.141492","0.107736","","","","",
